time,Q,Vgas,Tgas,Tbulb,deltaT
1,0.012,0.04,293.06,293.06,245.63,0.00
2,0.048,0.07,293.15,293.15,340.52,0.00
3,0.108,0.09,293.26,293.26,245.74,0.00
4,0.192,0.11,293.38,293.38,340.64,0.00
5,0.3,0.13,293.51,293.51,245.87,0.00
6,0.432,0.15,293.65,293.65,340.78,0.00
7,0.588,0.16,293.79,293.79,246.02,0.00
8,0.768,0.18,293.95,293.95,340.93,0.00
9,0.972,0.19,294.11,294.11,246.18,0.00
10,1.2,0.21,294.28,294.28,341.10,0.00
11,1.452,0.22,294.45,294.45,246.35,0.00
12,1.728,0.23,294.63,294.63,341.29,0.01
13,2.028,0.25,294.81,294.81,246.55,0.01
14,2.352,0.26,295.00,295.00,341.48,0.01
15,2.7,0.27,295.19,295.19,246.74,0.01
16,3.072,0.28,295.39,295.39,341.68,0.01
17,3.468,0.29,295.59,295.59,246.94,0.01
18,3.888,0.31,295.79,295.79,341.88,0.01
19,4.332,0.32,296.00,296.00,247.15,0.01
20,4.8,0.33,296.21,296.21,342.10,0.01
21,5.292,0.34,296.43,296.43,247.37,0.01
22,5.808,0.35,296.65,296.65,342.32,0.01
23,6.348,0.36,296.87,296.87,247.60,0.02
24,6.912,0.37,297.10,297.10,342.55,0.02
25,7.5,0.38,297.33,297.33,247.83,0.02
26,8.112,0.39,297.56,297.56,342.79,0.02
27,8.748,0.40,297.80,297.80,248.07,0.02
28,9.408,0.41,298.03,298.03,343.03,0.02
29,10.092,0.42,298.28,298.28,248.31,0.02
30,10.8,0.43,298.52,298.52,343.27,0.02
31,11.532,0.44,298.77,298.77,248.57,0.03
32,12.288,0.45,299.02,299.02,343.53,0.03
33,13.068,0.46,299.27,299.27,248.82,0.03
34,13.872,0.47,299.52,299.52,343.79,0.03
35,14.700000000000001,0.48,299.78,299.78,249.08,0.03
36,15.552,0.49,300.04,300.04,344.05,0.03
37,16.428,0.49,300.30,300.30,249.34,0.03
38,17.328,0.50,300.56,300.56,344.33,0.04
39,18.252,0.51,300.83,300.83,249.62,0.04
40,19.2,0.52,301.10,301.10,344.60,0.04
41,20.172,0.53,301.37,301.37,249.90,0.04
42,21.168,0.54,301.64,301.64,344.87,0.04
43,22.188,0.55,301.92,301.92,250.17,0.04
44,23.232,0.55,302.20,302.20,345.16,0.05
45,24.3,0.56,302.48,302.48,250.46,0.05
46,25.392,0.57,302.76,302.76,345.44,0.05
47,26.508,0.58,303.04,303.04,250.75,0.05
48,27.648,0.59,303.33,303.33,345.73,0.05
49,28.812,0.60,303.62,303.62,251.04,0.05
50,30,0.60,303.91,303.91,346.03,0.06
51,31.212,0.61,304.20,304.20,251.34,0.06
52,32.448,0.62,304.49,304.49,346.33,0.06
53,33.708,0.63,304.79,304.79,251.64,0.06
54,34.992,0.64,305.09,305.09,346.63,0.06
55,36.300000000000004,0.64,305.39,305.39,251.95,0.07
56,37.632,0.65,305.69,305.69,346.94,0.07
57,38.988,0.66,305.99,305.99,252.26,0.07
58,40.368,0.67,306.29,306.29,347.25,0.07
59,41.772,0.67,306.60,306.60,252.57,0.07
60,43.2,0.68,306.91,306.91,347.57,0.08
61,44.652,0.69,307.22,307.22,252.89,0.08
62,46.128,0.70,307.53,307.53,347.88,0.08
63,47.628,0.70,307.84,307.84,253.20,0.08
64,49.152,0.71,308.16,308.16,348.21,0.09
65,50.7,0.72,308.48,308.48,253.53,0.09
66,52.272,0.73,308.79,308.79,348.53,0.09
67,53.868,0.73,309.11,309.11,253.85,0.09
68,55.488,0.74,309.44,309.44,348.85,0.09
69,57.132,0.75,309.76,309.76,254.19,0.10
70,58.800000000000004,0.76,310.08,310.08,349.19,0.10
71,60.492000000000004,0.76,310.41,310.41,254.52,0.10
72,62.208,0.77,310.74,310.74,349.52,0.10
73,63.948,0.78,311.07,311.07,254.86,0.11
74,65.712,0.78,311.40,311.40,349.87,0.11
75,67.5,0.79,311.73,311.73,255.19,0.11
76,69.312,0.80,312.06,312.06,350.20,0.11
77,71.148,0.81,312.40,312.40,255.54,0.12
78,73.008,0.81,312.73,312.73,350.55,0.12
79,74.892,0.82,313.07,313.07,255.88,0.12
80,76.8,0.83,313.41,313.41,350.89,0.12
81,78.732,0.83,313.75,313.75,256.24,0.13
82,80.688,0.84,314.10,314.10,351.25,0.13
83,82.668,0.85,314.44,314.44,256.58,0.13
84,84.672,0.85,314.78,314.78,351.60,0.13
85,86.7,0.86,315.13,315.13,256.94,0.14
86,88.752,0.87,315.48,315.48,351.96,0.14
87,90.828,0.87,315.83,315.83,257.29,0.14
88,92.928,0.88,316.18,316.18,352.31,0.14
89,95.052,0.89,316.53,316.53,257.66,0.15
90,97.2,0.89,316.88,316.88,352.67,0.15
91,99.372,0.90,317.24,317.24,258.02,0.15
92,101.568,0.91,317.59,317.59,353.04,0.16
93,103.788,0.91,317.95,317.95,258.39,0.16
94,106.032,0.92,318.31,318.31,353.40,0.16
95,108.3,0.93,318.67,318.67,258.75,0.16
96,110.592,0.93,319.03,319.03,353.78,0.17
97,112.908,0.94,319.39,319.39,259.12,0.17
98,115.248,0.95,319.75,319.75,354.14,0.17
99,117.61200000000001,0.95,320.12,320.12,259.50,0.18
100,120,0.96,320.48,320.48,354.52,0.18
101,122.412,0.97,320.85,320.85,259.87,0.18
